0.0	0.0
0.01	0.1
0.02	0.141
0.03	0.173
0.04	0.2
0.05	0.224
0.06	0.245
0.07	0.265
0.08	0.283
0.09	0.3
0.1	0.316
0.11	0.332
0.12	0.346
0.13	0.361
0.14	0.374
0.15	0.387
0.16	0.4
0.17	0.412
0.18	0.424
0.19	0.436
0.2	0.447
0.21	0.458
0.22	0.469
0.23	0.48
0.24	0.49
0.25	0.5
0.26	0.51
0.27	0.52
0.28	0.529
0.29	0.539
0.3	0.548
0.31	0.557
0.32	0.566
0.33	0.574
0.34	0.583
0.35	0.592
0.36	0.6
0.37	0.608
0.38	0.616
0.39	0.624
0.4	0.632
0.41	0.64
0.42	0.648
0.43	0.656
0.44	0.663
0.45	0.671
0.46	0.678
0.47	0.686
0.48	0.693
0.49	0.7
0.5	0.707
0.51	0.714
0.52	0.721
0.53	0.728
0.54	0.735
0.55	0.742
0.56	0.748
0.57	0.755
0.58	0.762
0.59	0.768
0.6	0.775
0.61	0.781
0.62	0.787
0.63	0.794
0.64	0.8
0.65	0.806
0.66	0.812
0.67	0.819
0.68	0.825
0.69	0.831
0.7	0.837
0.71	0.843
0.72	0.849
0.73	0.854
0.74	0.86
0.75	0.866
0.76	0.872
0.77	0.877
0.78	0.883
0.79	0.889
0.8	0.894
0.81	0.9
0.82	0.906
0.83	0.911
0.84	0.917
0.85	0.922
0.86	0.927
0.87	0.933
0.88	0.938
0.89	0.943
0.9	0.949
0.91	0.954
0.92	0.959
0.93	0.964
0.94	0.97
0.95	0.975
0.96	0.98
0.97	0.985
0.98	0.99
0.99	0.995
1.0	1.0
1.01	1.005
1.02	1.01
1.03	1.015
1.04	1.02
1.05	1.025
1.06	1.03
1.07	1.034
1.08	1.039
1.09	1.044
1.1	1.049
1.11	1.054
1.12	1.058
1.13	1.063
1.14	1.068
1.15	1.072
1.16	1.077
1.17	1.082
1.18	1.086
1.19	1.091
1.2	1.095
1.21	1.1
1.22	1.105
1.23	1.109
1.24	1.114
1.25	1.118
1.26	1.122
1.27	1.127
1.28	1.131
1.29	1.136
1.3	1.14
1.31	1.145
1.32	1.149
1.33	1.153
1.34	1.158
1.35	1.162
1.36	1.166
1.37	1.17
1.38	1.175
1.39	1.179
1.4	1.183
1.41	1.187
1.42	1.192
1.43	1.196
1.44	1.2
1.45	1.204
1.46	1.208
1.47	1.212
1.48	1.217
1.49	1.221
1.5	1.225
1.51	1.229
1.52	1.233
1.53	1.237
1.54	1.241
1.55	1.245
1.56	1.249
1.57	1.253
1.58	1.257
1.59	1.261
1.6	1.265
1.61	1.269
1.62	1.273
1.63	1.277
1.64	1.281
1.65	1.285
1.66	1.288
1.67	1.292
1.68	1.296
1.69	1.3
1.7	1.304
1.71	1.308
1.72	1.311
1.73	1.315
1.74	1.319
1.75	1.323
1.76	1.327
1.77	1.33
1.78	1.334
1.79	1.338
1.8	1.342
1.81	1.345
1.82	1.349
1.83	1.353
1.84	1.356
1.85	1.36
1.86	1.364
1.87	1.367
1.88	1.371
1.89	1.375
1.9	1.378
1.91	1.382
1.92	1.386
1.93	1.389
1.94	1.393
1.95	1.396
1.96	1.4
1.97	1.404
1.98	1.407
1.99	1.411
2.0	1.414
